date,open,high,low,close,volume,change
2014-01-02,105.0,105.5,103.5,104.5,15133724,-1.0
2014-01-03,103.0,103.0,102.0,102.5,41160529,-2.0
2014-01-06,102.0,103.0,102.0,102.5,23729719,0.0
2014-01-07,102.5,103.0,102.0,102.0,18803694,-0.5
2014-01-08,103.0,104.5,102.5,104.0,30933475,2.0
2014-01-09,102.5,103.0,100.5,101.0,64221769,-3.0
2014-01-10,102.0,102.5,101.5,102.0,36289948,1.0
2014-01-13,103.0,103.5,102.5,103.0,22080716,1.0
2014-01-14,102.5,103.5,102.0,103.5,21718294,0.5
2014-01-15,104.0,106.0,104.0,105.0,54458036,1.5
2014-01-16,106.0,107.5,106.0,107.0,49601100,2.0
2014-01-17,108.0,108.5,107.0,107.5,55767194,0.5
2014-01-20,107.0,108.5,107.0,107.5,24299123,0.0
2014-01-21,108.5,108.5,106.0,106.5,25121036,-1.0
2014-01-22,106.0,107.5,106.0,107.5,28726849,1.0
2014-01-23,108.5,108.5,107.5,107.5,28308805,0.0
2014-01-24,107.0,108.5,107.0,108.0,34059356,0.5
2014-01-27,106.0,106.5,104.0,105.0,65271057,-3.0
2014-02-05,102.0,102.0,100.5,100.5,147198405,-4.5
2014-02-06,101.0,103.0,101.0,102.0,73840243,1.5
2014-02-07,103.5,104.5,103.0,104.0,54185812,2.0
2014-02-10,104.0,104.5,103.0,103.0,26243521,-1.0
2014-02-11,104.5,105.0,104.0,104.5,23523880,1.5
2014-02-12,105.0,105.5,104.5,105.0,25305882,0.5
2014-02-13,105.0,106.0,105.0,105.0,19625423,0.0
2014-02-14,106.5,107.5,106.5,107.5,42737744,2.5
2014-02-17,108.0,108.5,107.5,108.5,34368373,1.0
2014-02-18,108.5,108.5,107.5,108.0,22289965,-0.5
2014-02-19,108.0,108.0,107.0,108.0,28886535,0.0
2014-02-20,106.5,107.0,106.0,106.5,28469515,-1.5
2014-02-21,107.0,107.5,107.0,107.5,31505340,1.0
2014-02-24,107.5,108.0,106.0,107.0,32057819,-0.5
2014-02-25,107.5,108.0,106.5,108.0,34350129,1.0
2014-02-26,107.5,108.0,107.0,107.5,34982996,-0.5
2014-02-27,107.5,108.0,107.5,108.0,49352141,0.5
2014-03-03,108.0,108.0,106.5,108.0,62467129,0.0
2014-03-04,108.0,108.0,107.5,107.5,48939593,-0.5
2014-03-05,108.5,110.0,108.5,110.0,55447701,2.5
2014-03-06,110.0,113.5,110.0,113.0,72622868,3.0
2014-03-07,114.0,115.0,113.5,114.5,66916749,1.5
2014-03-10,114.5,114.5,112.5,113.0,38430338,-1.5
2014-03-11,113.5,114.5,113.5,114.0,29182885,1.0
2014-03-12,112.5,113.0,112.0,113.0,18414771,-1.0
2014-03-13,116.5,117.5,115.5,116.5,59080824,3.5
2014-03-14,115.0,115.5,114.0,115.0,47105032,-1.5
2014-03-17,114.5,115.0,113.0,114.0,33910334,-1.0
2014-03-18,114.5,115.0,113.5,114.5,37517456,0.5
2014-03-19,114.5,115.0,113.5,114.5,35237094,0.0
2014-03-20,113.0,113.5,112.0,112.0,46512209,-2.5
2014-03-21,114.0,114.0,112.0,112.5,60438012,0.5
2014-03-24,111.5,112.5,111.5,112.5,29607569,0.0
2014-03-25,111.5,113.5,111.5,113.5,38070794,1.0
2014-03-26,115.5,116.0,114.5,115.5,45234160,2.0
2014-03-27,114.5,116.0,114.0,116.0,31399282,0.5
2014-03-28,116.0,117.5,115.5,117.5,43794489,1.5
2014-03-31,118.0,118.5,116.5,118.5,47146441,1.0
2014-04-01,119.0,119.5,118.5,119.5,40636462,1.0
2014-04-02,120.5,121.0,119.0,120.0,43684651,0.5
2014-04-03,118.5,119.0,117.5,118.5,37000420,-1.5
2014-04-07,117.5,118.0,116.5,117.5,45254843,-1.0
2014-04-08,117.0,119.5,117.0,119.0,43894168,1.5
2014-04-09,119.5,120.0,119.0,119.0,29648114,0.0
2014-04-10,119.0,119.5,118.5,119.5,27215773,0.5
2014-04-11,118.5,120.0,118.0,120.0,34847792,0.5
2014-04-14,120.0,121.0,120.0,120.5,31053034,0.5
2014-04-15,121.5,122.5,121.0,122.5,29397114,2.0
2014-04-16,121.5,122.5,121.0,121.0,51075652,-1.5
2014-04-17,120.5,121.5,119.0,120.0,36418501,-1.0
2014-04-18,122.5,123.0,121.0,123.0,32921335,3.0
2014-04-21,122.0,122.0,121.0,121.5,24162522,-1.5
2014-04-22,121.0,122.5,120.5,121.5,27034052,0.0
2014-04-23,123.0,123.0,120.5,121.0,34358023,-0.5
2014-04-24,121.0,121.0,120.0,121.0,25524592,0.0
2014-04-25,121.0,121.0,118.0,118.5,49438252,-2.5
2014-04-28,118.5,120.0,117.5,119.0,28068430,0.5
2014-04-29,120.5,121.0,119.0,120.5,21811790,1.5
2014-04-30,120.0,120.5,117.0,118.5,44124133,-2.0
2014-05-02,119.0,119.5,117.0,118.0,45030119,-0.5
2014-05-05,117.5,118.0,116.0,117.0,28887828,-1.0
2014-05-06,117.0,119.0,116.5,118.0,27525257,1.0
2014-05-07,118.0,119.0,117.5,118.5,33276563,0.5
2014-05-08,119.5,120.0,119.0,119.5,30096125,1.0
2014-05-09,120.0,120.0,119.0,120.0,23287585,0.5
2014-05-12,119.5,120.0,117.5,118.5,37048901,-1.5
2014-05-13,120.0,121.0,119.5,120.5,24046010,2.0
2014-05-14,121.0,122.0,120.5,122.0,32903344,1.5
2014-05-15,121.0,122.0,120.5,122.0,16813508,0.0
2014-05-16,122.0,123.0,121.0,122.0,28679719,0.0
2014-05-19,122.0,122.5,121.0,121.0,20829956,-1.0
2014-05-20,122.0,122.0,121.0,121.0,25402168,0.0
2014-05-21,122.0,122.0,120.5,120.5,24218702,-0.5
2014-05-22,121.5,122.0,121.0,122.0,26336625,1.5
2014-05-23,121.0,122.5,121.0,122.0,31778175,0.0
2014-05-26,123.0,123.5,122.0,123.0,19854258,1.0
2014-05-27,122.5,124.0,122.5,123.5,18301066,0.5
2014-05-28,124.0,124.0,122.5,124.0,37799997,0.5
2014-05-29,123.5,124.0,121.5,122.0,43079080,-2.0
2014-05-30,122.0,122.5,119.5,119.5,69113681,-2.5
2014-06-03,120.0,122.5,120.0,122.5,40522053,3.0
2014-06-04,123.5,124.0,123.0,123.5,33486050,1.0
2014-06-05,123.0,123.5,121.5,123.0,19558349,-0.5
2014-06-06,123.5,123.5,122.0,122.5,19282324,-0.5
2014-06-09,122.5,123.5,122.5,123.0,19730824,0.5
2014-06-10,123.0,124.5,122.5,124.5,26661384,1.5
2014-06-11,124.0,125.0,123.5,125.0,27990426,0.5
2014-06-12,124.0,124.0,123.0,123.5,22300962,-1.5
2014-06-13,123.0,123.5,122.5,123.0,17197521,-0.5
2014-06-16,122.5,124.0,122.5,124.0,13737288,1.0
2014-06-17,124.0,125.0,123.0,125.0,20568681,1.0
2014-06-18,125.0,126.5,124.0,125.5,38103408,0.5
2014-06-19,124.5,126.0,124.5,126.0,25211563,0.5
2014-06-20,126.5,127.0,124.0,124.5,31589978,-1.5
2014-06-23,125.0,125.5,123.0,123.0,25147462,-1.5
2014-06-24,123.0,123.5,122.0,123.0,36234466,0.0
2014-06-25,123.0,124.5,123.0,123.5,31028964,0.5
2014-06-26,124.5,125.0,123.5,124.5,33938460,1.0
2014-06-27,125.0,126.5,124.0,125.5,44450355,1.0
2014-06-30,126.0,127.0,125.0,126.5,38191504,1.0
2014-07-01,126.5,128.5,126.0,128.0,33022537,1.5
2014-07-02,129.5,132.5,129.0,132.5,51623745,4.5
2014-07-03,131.5,135.0,130.5,134.5,41188579,2.0
2014-07-04,133.5,136.0,132.0,135.0,44516194,0.5
2014-07-07,134.5,136.0,132.5,136.0,32207808,1.0
2014-07-08,135.5,136.0,134.0,134.5,36299510,-1.5
2014-07-09,133.5,135.0,133.5,134.0,39336800,-0.5
2014-07-10,134.5,136.0,134.5,134.5,51132233,0.5
2014-07-11,136.0,138.0,135.5,136.5,43513681,2.0
2014-07-14,134.5,134.5,132.5,132.5,46818367,0.0
2014-07-15,133.0,134.0,132.5,133.0,37976398,0.5
2014-07-16,133.0,133.5,130.0,130.5,42072768,-2.5
2014-07-17,125.0,125.5,123.0,124.5,138665459,-6.0
2014-07-18,121.5,124.0,121.5,123.5,97366229,-1.0
2014-07-21,124.0,124.5,122.5,123.5,58994337,0.0
2014-07-22,123.5,125.0,122.5,124.5,53307488,1.0
2014-07-24,124.5,125.0,124.0,125.0,66041379,0.5
2014-07-25,124.5,125.0,122.5,123.0,31609284,-2.0
2014-07-28,122.0,122.5,121.0,121.5,43514580,-1.5
